section	subgroup	case	title	rc	started_ms	finished_ms	duration_ms	log_path
BOOT TESTS	-	runtime-string-markers-are-ordered	runtime emits STRLEN_OK then STRCMP_OK then STRING_HELPERS_OK in order	0	1775499131813	1775499132390	577	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-string-markers-are-ordered.log
TESTS	unit	host-memset-zero-byte-fill	host memset fills ordinary memory with the zero byte value	0	1775499131382	1775499132470	1088	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memset-zero-byte-fill.log
BOOT TESTS	-	runtime-serial-path-works-with-port	runtime serial path works through machine Port and serial driver layers	0	1775499132087	1775499132718	631	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-serial-path-works-with-port.log
BOOT TESTS	-	runtime-layout-path-works-with-kernel-range	runtime layout path still works through KernelRange	0	1775499132166	1775499132774	608	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-layout-path-works-with-kernel-range.log
TESTS	unit	host-memset-zero-length-behavior	host memset zero-length behavior is correct	0	1775499132258	1775499133605	1347	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memset-zero-length-behavior.log
TESTS	unit	host-memset-return-pointer-behavior	host memset returns the original destination pointer	0	1775499132490	1775499133704	1214	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memset-return-pointer-behavior.log
TESTS	unit	host-memset-sentinel-bounds	host memset preserves bytes outside the requested range	0	1775499133624	1775499134736	1112	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memset-sentinel-bounds.log
TESTS	unit	host-memory-backends-default-to-scalar	host memory backend selection defaults to scalar when policy is uninitialized	0	1775499133719	1775499134867	1148	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memory-backends-default-to-scalar.log
BOOT TESTS	-	f11-creates-terminal-and-visible-indicator-changes	host-driven VNC E2E maps F11 onto terminal creation and changes the visible active-terminal indicator	0	1775499132415	1775499134969	2554	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/f11-creates-terminal-and-visible-indicator-changes.log
BOOT TESTS	-	f12-destroys-current-terminal-and-visible-indicator-restores	host-driven VNC E2E maps F12 onto terminal destruction and restores the prior active-terminal indicator	0	1775499132734	1775499135604	2870	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/f12-destroys-current-terminal-and-visible-indicator-restores.log
TESTS	unit	host-memory-backends-stay-scalar-when-runtime-owned	host memory backend selection stays scalar while acceleration is still deferred	0	1775499134748	1775499135755	1007	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memory-backends-stay-scalar-when-runtime-owned.log
TESTS	unit	host-memory-backends-stay-scalar-when-runtime-blocked	host memory backend selection stays scalar when runtime policy blocks acceleration	0	1775499134879	1775499136008	1129	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memory-backends-stay-scalar-when-runtime-blocked.log
TESTS	unit	host-memory-backends-choose-sse2-when-allowed	host memory backend selection chooses SSE2 when the runtime policy allows it	0	1775499135768	1775499136728	960	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memory-backends-choose-sse2-when-allowed.log
TESTS	unit	host-memcpy-sse2-backend-preserves-contract	host memcpy preserves its contract on the SSE2 backend	0	1775499136025	1775499137133	1108	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memcpy-sse2-backend-preserves-contract.log
